timestamp,ring_id,predicted_total,predicted_max_stop,decision,reason,wait_minutes_before_dispatch
2025-11-26 00:00:00,purple,8.01,S23,HOLD,low_demand,0
2025-11-26 00:05:00,purple,8.01,S23,HOLD,low_demand,5
2025-11-26 00:10:00,purple,8.01,S23,DISPATCH,max_wait_exceeded,10
2025-11-26 00:15:00,purple,8.01,S23,HOLD,low_demand,0
2025-11-26 00:20:00,purple,8.01,S23,HOLD,low_demand,5
2025-11-26 00:25:00,purple,8.01,S23,DISPATCH,max_wait_exceeded,10
2025-11-26 00:30:00,purple,8.08,S23,HOLD,low_demand,0
2025-11-26 08:00:00,light_brown,65.21,S16,DISPATCH,threshold_met,0
2025-11-26 08:05:00,light_brown,65.31,S16,DISPATCH,threshold_met,0
2025-11-26 08:05:00,orange,109.87,S09,DISPATCH,threshold_met,0
2025-11-26 08:10:00,light_brown,64.7,S16,DISPATCH,threshold_met,0
2025-11-26 08:10:00,orange,108.76,S21,DISPATCH,threshold_met,0
2025-11-26 08:15:00,light_brown,65.47,S14,DISPATCH,threshold_met,0
2025-11-26 08:15:00,orange,109.71,S21,DISPATCH,threshold_met,0
2025-11-26 08:20:00,light_brown,65.26,S14,DISPATCH,threshold_met,0
2025-11-26 08:20:00,orange,109.0,S16,DISPATCH,threshold_met,0
2025-11-26 08:25:00,light_brown,64.97,S14,DISPATCH,threshold_met,0
2025-11-26 08:25:00,orange,108.48,S16,DISPATCH,threshold_met,0
2025-11-26 08:25:00,turquoise,28.86,S04,HOLD,waiting,0
2025-11-26 08:30:00,light_brown,65.08,S14,DISPATCH,threshold_met,0
2025-11-26 08:30:00,orange,108.55,S16,DISPATCH,threshold_met,0
2025-11-26 08:35:00,light_brown,59.67,S14,DISPATCH,threshold_met,0
2025-11-26 08:35:00,orange,100.62,S21,DISPATCH,threshold_met,0
2025-11-26 08:40:00,light_brown,58.45,S14,DISPATCH,threshold_met,0
2025-11-26 08:40:00,orange,98.36,S21,DISPATCH,threshold_met,0
2025-11-26 08:45:00,light_brown,58.66,S14,DISPATCH,threshold_met,0
2025-11-26 08:50:00,light_brown,58.76,S14,DISPATCH,threshold_met,0
2025-11-26 08:55:00,light_brown,58.9,S14,DISPATCH,threshold_met,0
